,city,hotel,url
0,Ampara,1. Thompukandam Village Resort,https://www.tripadvisor.com//Hotel_Review-g1815618-d4947629-Reviews-Thompukandam_Village_Resort-Ampara_Eastern_Province.html
1,Ampara,2. GreenBees Nature Farm,https://www.tripadvisor.com//Hotel_Review-g1815618-d23853233-Reviews-GreenBees_Nature_Farm-Ampara_Eastern_Province.html
2,Ampara,3. Explorer by Mahoora - Maduru Oya,https://www.tripadvisor.com//Hotel_Review-g1815618-d15560029-Reviews-Explorer_by_Mahoora_Maduru_Oya-Ampara_Eastern_Province.html
3,Ampara,4. Mahoora Tented Safari Camps,https://www.tripadvisor.com//Hotel_Review-g1815618-d2637962-Reviews-Mahoora_Tented_Safari_Camps-Ampara_Eastern_Province.html
4,Ampara,5. Quench Inn,https://www.tripadvisor.com//Hotel_Review-g1815618-d17547543-Reviews-Quench_Inn-Ampara_Eastern_Province.html
5,Ampara,6. Explorer by Mahoora - Kumana,https://www.tripadvisor.com//Hotel_Review-g1815618-d2625495-Reviews-Explorer_by_Mahoora_Kumana-Ampara_Eastern_Province.html
6,Ampara,Sponsored      Reddalf's Holiday Resort,https://www.tripadvisor.com//Hotel_Review-g3348959-d23941258-Reviews-Reddalf_s_Holiday_Resort-Arugam_Bay_Eastern_Province.html
7,Ampara,Rathnapriya Safari Guest Galoya,https://www.tripadvisor.com//Hotel_Review-g15667222-d15610256-Reviews-Rathnapriya_Safari_Guest_Galoya-Inginiyagala_Uva_Province.html
8,Ampara,Beach Guest House Addalaichenai,https://www.tripadvisor.com//Hotel_Review-g11911825-d10052987-Reviews-Beach_Guest_House_Addalaichenai-Addalaichenai_Eastern_Province.html
9,Ampara,Light House Beach Hut,https://www.tripadvisor.com//Hotel_Review-g3576746-d13004183-Reviews-Light_House_Beach_Hut-Komari_Eastern_Province.html
10,Ampara,Yuhibuhi Forest Resort,https://www.tripadvisor.com//Hotel_Review-g806316-d15806691-Reviews-Yuhibuhi_Forest_Resort-Batticaloa_Eastern_Province.html
11,Ampara,Nethmini Regency,https://www.tripadvisor.com//Hotel_Review-g4431109-d8064359-Reviews-Nethmini_Regency-Monaragala_Uva_Province.html
12,Ampara,Mala's Homestay,https://www.tripadvisor.com//Hotel_Review-g806316-d8594751-Reviews-Mala_s_Homestay-Batticaloa_Eastern_Province.html
13,Ampara,Aprota Villas Arugambay,https://www.tripadvisor.com//Hotel_Review-g608525-d13295467-Reviews-Aprota_Villas_Arugambay-Pottuvil_Arugam_Bay_Eastern_Province.html
14,Ampara,Whisky Point Surf Cabana,https://www.tripadvisor.com//Hotel_Review-g3348959-d15015644-Reviews-Whisky_Point_Surf_Cabana-Arugam_Bay_Eastern_Province.html
15,Ampara,Exotic Beach Hotel,https://www.tripadvisor.com//Hotel_Review-g608525-d17793176-Reviews-Exotic_Beach_Hotel-Pottuvil_Arugam_Bay_Eastern_Province.html
16,Ampara,Riva Del Sole,https://www.tripadvisor.com//Hotel_Review-g608525-d12795375-Reviews-Riva_Del_Sole-Pottuvil_Arugam_Bay_Eastern_Province.html
17,Ampara,Paper Moon Kudils,https://www.tripadvisor.com//Hotel_Review-g608525-d8436293-Reviews-Paper_Moon_Kudils-Pottuvil_Arugam_Bay_Eastern_Province.html
18,Ampara,Aliya Village,https://www.tripadvisor.com//Hotel_Review-g23708157-d23707611-Reviews-Aliya_Village-Pudududiyiruppu_Eastern_Province.html
19,Ampara,Eco Aloevera Garden,https://www.tripadvisor.com//Hotel_Review-g608525-d17636797-Reviews-Eco_Aloevera_Garden-Pottuvil_Arugam_Bay_Eastern_Province.html
20,Ampara,De Perla Resort,https://www.tripadvisor.com//Hotel_Review-g3348959-d15011716-Reviews-De_Perla_Resort-Arugam_Bay_Eastern_Province.html
21,Ampara,Prime Surfers Bungalow,https://www.tripadvisor.com//Hotel_Review-g608525-d23413712-Reviews-Prime_Surfers_Bungalow-Pottuvil_Arugam_Bay_Eastern_Province.html
22,Ampara,D&J Stamford Hotel,https://www.tripadvisor.com//Hotel_Review-g806316-d15137572-Reviews-D_J_Stamford_Hotel-Batticaloa_Eastern_Province.html
23,Ampara,Reddalf's Holiday Resort,https://www.tripadvisor.com//Hotel_Review-g3348959-d23941258-Reviews-Reddalf_s_Holiday_Resort-Arugam_Bay_Eastern_Province.html
24,Ampara,Whisky Point Resort,https://www.tripadvisor.com//Hotel_Review-g608525-d20113947-Reviews-Whisky_Point_Resort-Pottuvil_Arugam_Bay_Eastern_Province.html
25,Ampara,"The Coconut Homestay, Bar & Restaurant",https://www.tripadvisor.com//Hotel_Review-g806316-d15583292-Reviews-The_Coconut_Homestay_Bar_Restaurant-Batticaloa_Eastern_Province.html
26,Ampara,15LMD,https://www.tripadvisor.com//Hotel_Review-g806316-d6449787-Reviews-15LMD-Batticaloa_Eastern_Province.html
27,Ampara,Beni Beach Resort,https://www.tripadvisor.com//Hotel_Review-g806316-d10061258-Reviews-Beni_Beach_Resort-Batticaloa_Eastern_Province.html
28,Ampara,Dream Garden Resort,https://www.tripadvisor.com//Hotel_Review-g608525-d12214385-Reviews-Dream_Garden_Resort-Pottuvil_Arugam_Bay_Eastern_Province.html
29,Ampara,Ecoland Resort,https://www.tripadvisor.com//Hotel_Review-g608525-d20057649-Reviews-Ecoland_Resort-Pottuvil_Arugam_Bay_Eastern_Province.html
30,Ampara,Kunam Beach Rest Inn,https://www.tripadvisor.com//Hotel_Review-g12845117-d13234401-Reviews-Kunam_Beach_Rest_Inn-Kallady_Eastern_Province.html
